JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456114.65139,12.9,,,Vis.,CKB,,125,133,120703,,,,Z,,,,N SGR 2012 NO. 3,AAVSO,STD,,,,
2456115.3536,13.022,0.01,,V,SBX,,ensemble,,8086AIN,,0,2.484,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.49090,13.009,0.011,,V,ATE,,118,133,8064AX,,0,2.219,Z,,13.192,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.49395,13.019,0.023,,V,ATE,,118,133,8064AX,,0,2.231,Z,,13.193,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.49696,13.022,0.012,,V,ATE,,118,133,8064AX,,0,2.245,Z,,13.211,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.49995,13.036,0.014,,V,ATE,,118,133,8064AX,,0,2.260,Z,,13.201,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.50294,13.039,0.015,,V,ATE,,118,133,8064AX,,0,2.276,Z,,13.207,,PNV J17522579-2126215,AAVSO,STD,,,,
2456115.78281,11.345,0.025,,R,HCW,,ENSEMBLE,114,8095DCT,,0,2.007,Z,,10.937,,PNV J17522579-2126215,,STD,,,,
2456115.78484,14.081,0.053,,B,HCW,,ENSEMBLE,114,8095DCT,,0,2.007,Z,,12.220,,PNV J17522579-2126215,,STD,,,,
2456115.78582,10.611,0.020,,I,HCW,,ENSEMBLE,114,8095DCT,,0,2.007,Z,,10.541,,PNV J17522579-2126215,,STD,,,,
2456115.78675,12.960,0.065,,V,HCW,,ENSEMBLE,114,8095DCT,,0,2.008,Z,,11.452,,PNV J17522579-2126215,,STD,,,,
2456116.65030,12.717,0.009,,V,DKS,,000-BKN-596,000-BKN-698,8122BEL,ERROR: V-C STATISTICAL+V POISSON IN QUAD;,0,1.022,Z,11.369,13.152,,PNV J17522579-2126215,,STD,,,,
2456116.67778,13.5,,,Vis.,KRB,D,133,137,8113BW,Deep fade,,,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456116.74958,12.981,0.012,,V,PSD,,ENSEMBLE,114,8011ABA,,0,1.710,Z,,11.402,,PNV J17522579-2126215,,STD,0,,,
2456116.75118,11.391,0.006,,R,PSD,,ENSEMBLE,114,8011ABA,,0,1.711,Z,,10.926,,PNV J17522579-2126215,,STD,0,,,
2456116.75251,12.990,0.013,,V,PSD,,ENSEMBLE,114,8011ABA,,0,1.712,Z,,11.414,,PNV J17522579-2126215,,STD,0,,,
2456116.75381,11.408,0.006,,R,PSD,,ENSEMBLE,114,8011ABA,,0,1.713,Z,,10.911,,PNV J17522579-2126215,,STD,0,,,
2456116.78096,11.408,0.022,,R,HCW,,ENSEMBLE,126,8122PG,,0,2.007,Z,,12.089,,PNV J17522579-2126215,,STD,,,,
2456116.78189,14.170,0.055,,B,HCW,,ENSEMBLE,126,8122PG,,0,2.007,Z,,13.118,,PNV J17522579-2126215,,STD,,,,
2456116.78282,10.730,0.025,,I,HCW,,ENSEMBLE,126,8122PG,,0,2.007,Z,,11.640,,PNV J17522579-2126215,,STD,,,,
2456116.78374,12.965,0.020,,V,HCW,,ENSEMBLE,126,8122PG,,0,2.008,Z,,12.476,,PNV J17522579-2126215,,STD,,,,
2456117.029456,14.15,0.02,,B,NLX,,114,137,8054PH,""" 	Av 3 images, K mag as measured """,0,1.05,Z,12.168,14.63,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.032651,12.97,0.01,,V,NLX,,114,137,8054PH,""" 	Av 3 images, check mag as measured """,0,1.05,Z,11.369,13.71,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.034282,11.34,0.007,,R,NLX,,114,137,8054PH,""" 	Av 3 images, Check mag as measured """,0,1.05,Z,10.899,13.18,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.035625,10.76,0.014,,I,NLX,,114,137,8054PH,""" 	Av 3 images, K mag as measured """,0,1.05,Z,10.499,12.59,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.409884,13.060,0.01,,V,SBX,,ensemble,,8095BYD,,0,2.531,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.49049,13.162,0.001,,V,ATE,,118,133,8064AX,,0,2.240,Z,,13.277,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.49205,13.149,0.007,,V,ATE,,118,133,8064AX,,0,2.247,Z,,13.264,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.49354,13.159,0.012,,V,ATE,,118,133,8064AX,,0,2.255,Z,,13.254,,PNV J17522579-2126215,AAVSO,STD,,,,
2456117.49504,13.171,0.003,,V,ATE,,118,133,8064AX,,0,2.262,Z,,13.278,,PNV J17522579-2126215,AAVSO,STD,,,,
